,amazed-suprised,happy-pleased,relaxing-clam,quiet-still,sad-lonely,angry-aggresive
0,0,1,1,0,0,0
1,1,0,0,0,0,1
2,0,1,0,0,0,1
3,0,0,1,0,0,0
4,0,0,0,1,0,0
5,0,1,1,0,0,0
6,1,1,0,0,0,0
7,0,0,0,0,0,1
8,1,1,0,0,0,0
9,0,0,1,1,1,0
10,0,1,1,0,0,0
11,0,0,1,0,0,0
12,1,0,0,0,0,0
13,0,0,1,0,1,0
14,0,0,0,0,1,0
15,1,0,0,0,0,1
16,0,0,1,1,1,0
17,0,1,1,0,0,0
18,0,0,0,0,1,1
19,0,0,1,1,1,0
20,1,0,0,0,0,1
21,0,1,0,0,0,0
22,0,1,0,0,0,0
23,0,0,0,0,0,1
24,0,0,0,0,0,1
25,0,0,1,0,0,1
26,0,0,1,0,0,0
27,1,1,0,0,0,1
28,0,1,0,0,0,0
29,0,0,1,0,0,0
30,0,0,0,0,0,1
31,0,0,1,1,0,0
32,1,0,0,0,0,1
33,0,0,0,0,0,1
34,1,1,0,0,0,0
35,0,1,1,0,0,0
36,0,0,1,1,1,0
37,0,1,1,0,0,0
38,1,1,0,0,0,0
39,1,0,0,0,0,1
40,0,1,0,0,0,0
41,1,0,0,0,1,0
42,0,0,1,1,1,0
43,0,1,1,0,0,0
44,1,1,0,0,0,0
45,0,1,1,0,0,0
46,0,0,1,1,1,0
47,0,1,1,0,0,0
48,0,0,0,0,0,1
49,1,0,0,0,0,1
50,0,0,0,0,0,1
51,0,0,1,0,1,1
52,0,0,0,0,0,1
53,1,0,0,0,0,1
54,1,0,0,0,0,1
55,0,0,1,1,1,0
56,0,0,1,1,1,0
57,0,0,1,0,1,0
58,1,1,0,0,0,0
59,0,1,0,0,1,0
60,0,0,0,0,1,1
61,0,1,1,0,0,0
62,0,0,1,1,0,0
63,0,0,1,1,1,0
64,0,0,1,1,1,0
65,1,0,0,0,0,1
66,0,0,1,0,0,0
67,0,0,1,1,1,0
68,0,1,1,0,0,0
69,1,0,0,0,0,1
70,0,0,0,0,1,0
71,1,0,0,0,0,1
72,0,0,0,0,0,1
73,1,1,1,0,0,0
74,1,0,1,0,0,0
75,0,0,1,0,1,1
76,0,1,1,0,0,0
77,0,1,1,0,0,0
78,0,0,0,0,0,1
79,0,0,0,0,0,1
80,0,0,0,0,0,1
81,1,0,0,0,0,0
82,0,0,1,0,1,0
83,1,0,0,0,0,0
84,0,0,1,0,0,0
85,0,0,1,1,0,0
86,0,0,1,0,1,0
87,0,0,1,1,0,0
88,0,0,0,0,0,1
89,0,1,0,0,0,1
90,0,0,0,0,1,0
91,1,0,0,0,0,1
92,0,0,1,0,1,0
93,0,1,1,0,0,0
94,1,0,0,0,0,1
95,0,0,0,0,0,1
96,0,0,1,1,1,0
97,1,0,0,0,0,1
98,0,0,0,0,0,1
99,1,1,0,0,0,0
100,0,0,1,0,0,0
101,0,0,0,0,0,1
102,0,0,0,0,0,1
103,0,0,1,0,0,0
104,1,0,0,0,0,1
105,0,1,1,0,0,0
106,1,0,0,0,0,1
107,1,1,0,0,0,0
108,0,0,0,0,0,1
109,1,0,0,0,0,0
110,0,0,1,1,1,0
111,1,0,0,0,0,1
112,0,0,0,0,0,1
113,0,0,0,0,1,1
114,0,1,1,1,0,0
115,0,1,1,0,0,0
116,1,1,0,0,0,1
117,0,0,1,0,1,0
118,0,0,1,0,1,0
119,0,0,1,0,0,1
120,0,0,1,1,1,0
121,0,0,0,0,0,1
122,0,1,1,0,0,0
123,1,0,0,0,0,1
124,0,0,0,1,1,0
125,0,1,1,0,0,0
126,1,0,0,0,0,1
127,0,0,1,1,0,0
128,0,0,0,0,0,1
129,1,0,0,0,0,0
130,0,1,1,0,0,0
131,1,1,0,0,0,0
132,0,1,1,0,0,0
133,0,0,0,0,1,1
134,1,0,0,0,0,0
135,0,0,0,0,0,1
136,1,0,0,0,0,0
137,0,1,1,0,0,0
138,0,0,1,1,1,0
139,1,0,0,0,0,1
